100,0.0005879999998796848
200,0.0011029999996026163
300,0.0018229999996037805
400,0.0033300000004601316
500,0.006212000000232365
600,0.005055999999967753
700,0.0049319999998260755
800,0.00687000000016269
900,0.007641000000148779
1000,0.008810000000266882
2000,0.024536999999327236
3000,0.025077000000237604
4000,0.0480729999999312
5000,0.05903000000034808
6000,0.06876499999998487
7000,0.07750099999975646
8000,0.09326899999996385
9000,0.10374400000000605
10000,0.11655599999994593
20000,0.2570260000002236
30000,0.3901179999993474
40000,0.5008450000004814
