1, 1,  1,  1
3, 2,  3,  2
5, 3,  5,  3
8, 4,  8,  5
13, 5,  13,  8
21, 6,  21,  13
34, 7,  34,  21
55, 8,  55,  34
89, 9,  89,  55
144, 10,  144,  89
233, 11,  233,  144
377, 12,  377,  233
610, 13,  610,  377
987, 14,  987,  610
